570: '٢٬٠' at x=151.76, top=361.48
571: '٩' at x=157.89, top=370.48
572: '٢' at x=161.79, top=361.48
573: '٤' at x=161.79, top=370.48
574: '٢' at x=165.69, top=361.48
575: '٥٬' at x=165.69, top=370.48
576: '٬٩' at x=169.59, top=361.48
577: '١' at x=171.81, top=370.48
578: '٩' at x=175.71, top=361.48
579: '٠' at x=175.71, top=370.48
580: '٦' at x=179.62, top=361.48
581: '٥' at x=179.62, top=370.48
582: '۲' at x=207.84, top=364.29
583: '۲' at x=207.84, top=373.29
584: '۲' at x=211.41, top=364.29
585: '۲' at x=211.41, top=373.29
586: 'رﺎﺠﻳإ' at x=312.05, top=375.72
587: 'دﻮﻘﻋ' at x=326.71, top=375.72
